datetime,count
2011-01-20 00:00:00,15.0
2011-01-20 01:00:00,5.4
2011-01-20 02:00:00,4.03
2011-01-20 03:00:00,3.92
2011-01-20 04:00:00,3.19
2011-01-20 05:00:00,16.12
2011-01-20 06:00:00,74.12
2011-01-20 07:00:00,184.72
2011-01-20 08:00:00,354.76
2011-01-20 09:00:00,189.13
2011-01-20 10:00:00,112.68
2011-01-20 11:00:00,109.51
2011-01-20 12:00:00,132.77
2011-01-20 13:00:00,121.24
2011-01-20 14:00:00,128.47
2011-01-20 15:00:00,140.24
2011-01-20 16:00:00,133.63
2011-01-20 17:00:00,216.27
2011-01-20 18:00:00,184.99
2011-01-20 19:00:00,175.22
2011-01-20 20:00:00,99.67
2011-01-20 21:00:00,73.18
2011-01-20 22:00:00,59.91
2011-01-20 23:00:00,35.47
2011-01-21 00:00:00,20.37
2011-01-21 01:00:00,7.01
2011-01-21 02:00:00,6.11
2011-01-21 03:00:00,3.3
2011-01-21 04:00:00,2.82
2011-01-21 05:00:00,12.15
2011-01-21 06:00:00,55.04
2011-01-21 07:00:00,129.45
2011-01-21 08:00:00,197.89
2011-01-21 09:00:00,128.28
2011-01-21 10:00:00,63.54
2011-01-21 11:00:00,70.67
2011-01-21 12:00:00,82.41
2011-01-21 13:00:00,86.67
2011-01-21 14:00:00,73.43
2011-01-21 15:00:00,77.38
2011-01-21 16:00:00,104.42
2011-01-21 17:00:00,181.86
2011-01-21 18:00:00,167.92
2011-01-21 19:00:00,136.45
2011-01-21 20:00:00,95.42
2011-01-21 21:00:00,59.71
2011-01-21 22:00:00,38.43
2011-01-21 23:00:00,23.49
2011-01-22 00:00:00,31.48
2011-01-22 01:00:00,25.34
2011-01-22 02:00:00,24.84
2011-01-22 03:00:00,11.4
2011-01-22 04:00:00,2.97
2011-01-22 06:00:00,5.75
2011-01-22 07:00:00,61.12
2011-01-22 08:00:00,76.66
2011-01-22 09:00:00,87.67
2011-01-22 10:00:00,115.79
2011-01-22 11:00:00,118.23
2011-01-22 12:00:00,124.41
2011-01-22 13:00:00,147.53
2011-01-22 14:00:00,143.98
2011-01-22 15:00:00,141.99
2011-01-22 16:00:00,134.21
2011-01-22 17:00:00,112.81
2011-01-22 18:00:00,90.44
2011-01-22 19:00:00,80.08
2011-01-22 20:00:00,61.16
2011-01-22 21:00:00,53.18
2011-01-22 22:00:00,40.47
2011-01-22 23:00:00,20.34
2011-01-23 00:00:00,30.44
2011-01-23 01:00:00,24.57
2011-01-23 02:00:00,21.51
2011-01-23 03:00:00,16.28
2011-01-23 05:00:00,3.59
2011-01-23 06:00:00,4.11
2011-01-23 07:00:00,18.47
2011-01-23 08:00:00,47.54
2011-01-23 09:00:00,65.85
2011-01-23 10:00:00,74.49
2011-01-23 11:00:00,119.07
2011-01-23 12:00:00,82.02
2011-01-23 13:00:00,112.91
2011-01-23 14:00:00,132.3
2011-01-23 15:00:00,128.81
2011-01-23 16:00:00,130.32
2011-01-23 17:00:00,112.25
2011-01-23 18:00:00,85.86
2011-01-23 19:00:00,77.28
2011-01-23 20:00:00,56.83
2011-01-23 21:00:00,53.97
2011-01-23 22:00:00,37.26
2011-01-23 23:00:00,21.68
2011-01-24 00:00:00,11.11
2011-01-24 01:00:00,5.28
2011-01-24 03:00:00,1.59
2011-01-24 04:00:00,2.11
2011-01-24 05:00:00,10.45
2011-01-24 06:00:00,50.01
2011-01-24 07:00:00,147.7
2011-01-24 08:00:00,236.92
2011-01-24 09:00:00,165.9
2011-01-24 10:00:00,66.89
2011-01-24 11:00:00,66.93
2011-01-24 12:00:00,70.81
2011-01-24 13:00:00,73.99
2011-01-24 14:00:00,69.94
2011-01-24 15:00:00,76.25
2011-01-24 16:00:00,93.14
2011-01-24 17:00:00,151.31
2011-01-24 18:00:00,139.9
2011-01-24 19:00:00,100.08
2011-01-24 20:00:00,60.19
2011-01-24 21:00:00,49.47
2011-01-24 22:00:00,28.81
2011-01-24 23:00:00,25.64
2011-01-25 00:00:00,9.78
2011-01-25 01:00:00,3.6
2011-01-25 02:00:00,2.2
2011-01-25 04:00:00,2.13
2011-01-25 05:00:00,8.74
2011-01-25 06:00:00,51.03
2011-01-25 07:00:00,116.9
2011-01-25 08:00:00,259.69
2011-01-25 09:00:00,208.94
2011-01-25 10:00:00,86.64
2011-01-25 11:00:00,87.27
2011-01-25 12:00:00,100.39
2011-01-25 13:00:00,91.54
2011-01-25 14:00:00,115.25
2011-01-25 15:00:00,121.08
2011-01-25 16:00:00,155.44
2011-01-25 17:00:00,282.75
2011-01-25 18:00:00,212.19
2011-01-25 19:00:00,151.81
2011-01-25 20:00:00,85.41
2011-01-25 21:00:00,73.33
2011-01-25 22:00:00,47.43
2011-01-25 23:00:00,26.69
2011-01-26 00:00:00,11.12
2011-01-26 01:00:00,5.64
2011-01-26 02:00:00,3.33
2011-01-26 05:00:00,9.06
2011-01-26 06:00:00,61.19
2011-01-26 07:00:00,118.6
2011-01-26 08:00:00,195.58
2011-01-26 09:00:00,136.61
2011-01-26 10:00:00,65.7
2011-01-26 11:00:00,54.9
2011-01-26 12:00:00,55.14
2011-01-26 13:00:00,57.41
2011-01-26 14:00:00,55.95
2011-01-26 15:00:00,52.74
2011-01-26 16:00:00,63.94
2011-01-26 17:00:00,152.27
2011-01-27 16:00:00,106.13
2011-01-27 17:00:00,161.72
2011-01-27 18:00:00,158.19
2011-01-27 19:00:00,129.06
2011-01-27 20:00:00,66.85
2011-01-27 21:00:00,48.3
2011-01-27 22:00:00,43.54
2011-01-27 23:00:00,27.98
2011-01-28 00:00:00,16.65
2011-01-28 01:00:00,6.86
2011-01-28 02:00:00,3.51
2011-01-28 03:00:00,2.66
2011-01-28 05:00:00,14.93
2011-01-28 06:00:00,64.15
2011-01-28 07:00:00,168.39
2011-01-28 08:00:00,339.25
2011-01-28 09:00:00,185.22
2011-01-28 10:00:00,85.4
2011-01-28 11:00:00,87.78
2011-01-28 12:00:00,87.83
2011-01-28 13:00:00,87.98
2011-01-28 14:00:00,67.59
2011-01-28 15:00:00,61.41
2011-01-28 16:00:00,79.02
2011-01-28 17:00:00,153.03
2011-01-28 18:00:00,147.48
2011-01-28 19:00:00,119.73
2011-01-28 20:00:00,83.86
2011-01-28 21:00:00,57.24
2011-01-28 22:00:00,59.38
2011-01-28 23:00:00,39.6
2011-01-29 00:00:00,34.23
2011-01-29 01:00:00,24.27
2011-01-29 02:00:00,18.38
2011-01-29 03:00:00,16.72
2011-01-29 04:00:00,3.24
2011-01-29 06:00:00,3.65
2011-01-29 07:00:00,24.96
2011-01-29 08:00:00,41.51
2011-01-29 09:00:00,63.02
2011-01-29 10:00:00,80.73
2011-01-29 11:00:00,78.34
2011-01-29 12:00:00,104.28
2011-01-29 13:00:00,118.84
2011-01-29 14:00:00,115.8
2011-01-29 15:00:00,149.56
2011-01-29 16:00:00,147.66
2011-01-29 17:00:00,122.59
2011-01-29 18:00:00,115.86
2011-01-29 19:00:00,113.21
2011-01-29 20:00:00,58.32
2011-01-29 21:00:00,45.63
2011-01-29 22:00:00,41.46
2011-01-29 23:00:00,31.75
2011-01-30 00:00:00,34.81
2011-01-30 01:00:00,24.18
2011-01-30 02:00:00,19.23
2011-01-30 03:00:00,15.06
2011-01-30 04:00:00,4.4
2011-01-30 05:00:00,3.37
2011-01-30 07:00:00,23.21
2011-01-30 08:00:00,43.46
2011-01-30 09:00:00,61.02
2011-01-30 10:00:00,97.96
2011-01-30 11:00:00,135.81
2011-01-30 12:00:00,190.25
2011-01-30 13:00:00,202.8
2011-01-30 14:00:00,204.68
2011-01-30 15:00:00,201.83
2011-01-30 16:00:00,219.6
2011-01-30 17:00:00,154.2
2011-01-30 18:00:00,110.74
2011-01-30 19:00:00,85.39
2011-01-30 20:00:00,62.91
2011-01-30 21:00:00,50.69
2011-01-30 22:00:00,51.7
2011-01-30 23:00:00,28.89
2011-01-31 00:00:00,15.96
2011-01-31 01:00:00,4.34
2011-01-31 02:00:00,3.26
2011-01-31 03:00:00,3.14
2011-01-31 04:00:00,3.19
2011-01-31 05:00:00,7.68
2011-01-31 06:00:00,55.58
2011-01-31 07:00:00,136.51
2011-01-31 08:00:00,218.47
2011-01-31 09:00:00,112.43
2011-01-31 10:00:00,64.87
2011-01-31 11:00:00,65.38
2011-01-31 12:00:00,67.48
2011-01-31 13:00:00,78.64
2011-01-31 14:00:00,68.12
2011-01-31 15:00:00,75.92
2011-01-31 16:00:00,98.27
2011-01-31 17:00:00,157.33
2011-01-31 18:00:00,153.74
2011-01-31 19:00:00,178.72
2011-01-31 20:00:00,67.73
2011-01-31 21:00:00,43.73
2011-01-31 22:00:00,40.41
2011-01-31 23:00:00,20.52
2011-02-20 00:00:00,53.34
2011-02-20 01:00:00,41.53
2011-02-20 02:00:00,34.64
2011-02-20 03:00:00,14.96
2011-02-20 04:00:00,3.56
2011-02-20 06:00:00,5.0
2011-02-20 07:00:00,27.07
2011-02-20 08:00:00,52.43
2011-02-20 09:00:00,72.47
2011-02-20 10:00:00,137.91
2011-02-20 11:00:00,166.18
2011-02-20 12:00:00,173.14
2011-02-20 13:00:00,199.9
2011-02-20 14:00:00,216.61
2011-02-20 15:00:00,246.27
2011-02-20 16:00:00,227.98
2011-02-20 17:00:00,197.34
2011-02-20 18:00:00,196.38
2011-02-20 19:00:00,178.22
2011-02-20 20:00:00,120.1
2011-02-20 21:00:00,94.42
2011-02-20 22:00:00,75.95
2011-02-20 23:00:00,49.56
2011-02-21 00:00:00,37.8
2011-02-21 01:00:00,22.53
2011-02-21 02:00:00,12.26
2011-02-21 03:00:00,5.46
2011-02-21 04:00:00,4.16
2011-02-21 05:00:00,13.51
2011-02-21 06:00:00,18.21
2011-02-21 07:00:00,160.79
2011-02-21 08:00:00,210.7
2011-02-21 09:00:00,151.44
2011-02-21 10:00:00,138.48
2011-02-21 11:00:00,139.38
2011-02-21 12:00:00,166.83
2011-02-21 13:00:00,88.55
2011-02-21 14:00:00,117.56
2011-02-21 15:00:00,169.46
2011-02-21 16:00:00,130.46
2011-02-21 17:00:00,160.77
2011-02-21 18:00:00,158.62
2011-02-21 19:00:00,150.26
2011-02-21 20:00:00,94.73
2011-02-21 21:00:00,67.4
2011-02-21 22:00:00,44.25
2011-02-21 23:00:00,22.12
2011-02-22 06:00:00,52.84
2011-02-22 07:00:00,125.46
2011-02-22 08:00:00,216.28
2011-02-22 09:00:00,124.04
2011-02-22 10:00:00,73.99
2011-02-22 11:00:00,78.19
2011-02-22 12:00:00,92.92
2011-02-22 13:00:00,93.68
2011-02-22 14:00:00,89.41
2011-02-22 15:00:00,92.69
2011-02-22 16:00:00,86.12
2011-02-22 17:00:00,167.77
2011-02-22 18:00:00,166.81
2011-02-22 19:00:00,111.78
2011-02-22 20:00:00,84.62
2011-02-22 21:00:00,63.16
2011-02-22 22:00:00,42.24
2011-02-22 23:00:00,27.94
2011-02-23 00:00:00,12.56
2011-02-23 01:00:00,5.92
2011-02-23 02:00:00,2.77
2011-02-23 03:00:00,1.58
2011-02-23 05:00:00,5.99
2011-02-23 06:00:00,38.72
2011-02-23 07:00:00,104.13
2011-02-23 08:00:00,253.76
2011-02-23 09:00:00,138.9
2011-02-23 10:00:00,63.67
2011-02-23 11:00:00,89.35
2011-02-23 12:00:00,91.12
2011-02-23 13:00:00,94.99
2011-02-23 14:00:00,116.93
2011-02-23 15:00:00,123.66
2011-02-23 16:00:00,165.92
2011-02-23 17:00:00,338.22
2011-02-23 18:00:00,289.82
2011-02-23 19:00:00,221.39
2011-02-23 20:00:00,85.2
2011-02-23 21:00:00,68.32
2011-02-23 22:00:00,54.14
2011-02-23 23:00:00,28.8
2011-02-24 00:00:00,13.03
2011-02-24 01:00:00,5.3
2011-02-24 02:00:00,2.42
2011-02-24 03:00:00,2.35
2011-02-24 05:00:00,13.76
2011-02-24 06:00:00,62.99
2011-02-24 07:00:00,216.18
2011-02-24 08:00:00,462.69
2011-02-24 09:00:00,173.51
2011-02-24 10:00:00,118.18
2011-02-24 11:00:00,113.33
2011-02-24 12:00:00,120.34
2011-02-24 13:00:00,107.33
2011-02-24 14:00:00,112.05
2011-02-24 15:00:00,84.39
2011-02-24 16:00:00,93.86
2011-02-24 17:00:00,188.84
2011-02-24 18:00:00,183.22
2011-02-24 19:00:00,131.84
2011-02-24 20:00:00,114.29
2011-02-24 21:00:00,94.12
2011-02-24 22:00:00,46.91
2011-02-24 23:00:00,42.15
2011-02-25 00:00:00,18.05
2011-02-25 01:00:00,12.23
2011-02-25 02:00:00,8.12
2011-02-25 03:00:00,2.16
2011-02-25 05:00:00,12.55
2011-02-25 06:00:00,63.84
2011-02-25 07:00:00,199.54
2011-02-25 08:00:00,269.03
2011-02-25 09:00:00,125.87
2011-02-25 10:00:00,103.16
2011-02-25 11:00:00,169.84
2011-02-25 12:00:00,172.81
2011-02-25 13:00:00,173.99
2011-02-25 14:00:00,174.56
2011-02-25 15:00:00,211.98
2011-02-25 16:00:00,144.1
2011-02-25 17:00:00,219.09
2011-02-25 18:00:00,169.18
2011-02-25 19:00:00,142.86
2011-02-25 20:00:00,103.26
2011-02-25 21:00:00,79.13
2011-02-25 22:00:00,68.22
2011-02-25 23:00:00,47.16
2011-02-26 00:00:00,43.22
2011-02-26 01:00:00,39.45
2011-02-26 02:00:00,20.47
2011-02-26 03:00:00,16.11
2011-02-26 04:00:00,3.65
2011-02-26 05:00:00,3.56
2011-02-26 06:00:00,3.88
2011-02-26 07:00:00,17.45
2011-02-26 08:00:00,60.43
2011-02-26 09:00:00,110.79
2011-02-26 10:00:00,182.15
2011-02-26 11:00:00,190.84
2011-02-26 12:00:00,224.65
2011-02-26 13:00:00,231.05
2011-02-26 14:00:00,179.36
2011-02-26 15:00:00,227.55
2011-02-26 16:00:00,188.34
2011-02-26 17:00:00,226.89
2011-02-26 18:00:00,164.23
2011-02-26 19:00:00,114.32
2011-02-26 20:00:00,94.36
2011-02-26 21:00:00,69.58
2011-02-26 22:00:00,72.39
2011-02-26 23:00:00,54.34
2011-02-27 00:00:00,49.34
2011-02-27 01:00:00,44.8
2011-02-27 02:00:00,40.55
2011-02-27 03:00:00,20.66
2011-02-27 04:00:00,8.02
2011-02-27 06:00:00,5.39
2011-02-27 07:00:00,39.05
2011-02-27 08:00:00,80.18
2011-02-27 09:00:00,102.37
2011-02-27 10:00:00,115.51
2011-02-27 11:00:00,152.33
2011-02-27 12:00:00,196.09
2011-02-27 13:00:00,223.44
2011-02-27 14:00:00,281.11
2011-02-27 15:00:00,314.03
2011-02-27 16:00:00,356.84
2011-02-27 17:00:00,161.09
2011-02-27 18:00:00,142.45
2011-02-27 19:00:00,135.65
2011-02-27 20:00:00,108.94
2011-02-27 21:00:00,91.67
2011-02-27 22:00:00,79.31
2011-02-27 23:00:00,55.78
2011-02-28 00:00:00,21.6
2011-02-28 01:00:00,6.54
2011-02-28 03:00:00,1.83
2011-02-28 05:00:00,14.29
2011-02-28 06:00:00,64.1
2011-02-28 07:00:00,212.9
2011-02-28 08:00:00,260.43
2011-02-28 09:00:00,250.59
2011-02-28 10:00:00,173.91
2011-02-28 11:00:00,174.39
2011-02-28 12:00:00,176.29
2011-02-28 13:00:00,139.09
2011-02-28 14:00:00,116.63
2011-02-28 15:00:00,116.01
2011-02-28 16:00:00,164.44
2011-02-28 17:00:00,160.23
2011-02-28 18:00:00,226.72
2011-02-28 19:00:00,193.07
2011-02-28 20:00:00,150.65
2011-02-28 21:00:00,93.57
2011-02-28 22:00:00,56.68
2011-02-28 23:00:00,33.8
2011-03-20 00:00:00,66.11
